question_E,query,question_VN
What are the names of documents that have both one of the three most common types and one of three most common structures?,SELECT document_name FROM documents GROUP BY document_type_code ORDER BY count(*) DESC LIMIT 3 INTERSECT SELECT document_name FROM documents GROUP BY document_structure_code ORDER BY count(*) DESC LIMIT 3,Tên của các tài liệu có cả một trong ba loại phổ biến nhất và một trong ba cấu trúc phổ biến nhất là gì?
What document types do have more than 10000 total access number.,SELECT document_type_code FROM documents GROUP BY document_type_code HAVING sum(access_count)  >  10000,Những loại tài liệu nào có hơn 10000 tổng số truy cập.
Return the codes of the document types that do not have a total access count of over 10000.,SELECT document_type_code FROM documents GROUP BY document_type_code HAVING sum(access_count)  >  10000,Trả về mã của các loại tài liệu không có tổng số truy cập trên 10000.
"What are all the section titles of the document named ""David CV""?","SELECT t2.section_title FROM documents AS t1 JOIN document_sections AS t2 ON t1.document_code  =  t2.document_code WHERE t1.document_name  =  ""David CV""","Tất cả các tiêu đề của tài liệu có tên là ""David CV"" là gì?"
"Give the section titles of the document with the name ""David CV"".","SELECT t2.section_title FROM documents AS t1 JOIN document_sections AS t2 ON t1.document_code  =  t2.document_code WHERE t1.document_name  =  ""David CV""","Cung cấp cho các tiêu đề của tài liệu với tên ""David CV""."
Find all the name of documents without any sections.,SELECT document_name FROM documents WHERE document_code NOT IN (SELECT document_code FROM document_sections),Tìm tất cả tên của các tài liệu mà không có bất kỳ phần nào.
What are the names of documents that do not have any sections?,SELECT document_name FROM documents WHERE document_code NOT IN (SELECT document_code FROM document_sections),Tên của các tài liệu không có phần nào?
List all the username and passwords of users with the most popular role.,"SELECT user_name ,  password FROM users GROUP BY role_code ORDER BY count(*) DESC LIMIT 1",Liệt kê tất cả tên người dùng và mật khẩu của người dùng với vai trò phổ biến nhất.
What are the usernames and passwords of users that have the most common role?,"SELECT user_name ,  password FROM users GROUP BY role_code ORDER BY count(*) DESC LIMIT 1",Tên người dùng và mật khẩu của người dùng có vai trò phổ biến nhất là gì?
"Find the average access counts of documents with functional area ""Acknowledgement"".","SELECT avg(t1.access_count) FROM documents AS t1 JOIN document_functional_areas AS t2 ON t1.document_code  =  t2.document_code JOIN functional_areas AS t3 ON t2.functional_area_code  =  t3.functional_area_code WHERE t3.functional_area_description  =  ""Acknowledgement""","Tìm số lượng truy cập trung bình của các tài liệu với khu vực chức năng ""xác nhận""."
"What are the average access counts of documents that have the functional area description ""Acknowledgement""?","SELECT avg(t1.access_count) FROM documents AS t1 JOIN document_functional_areas AS t2 ON t1.document_code  =  t2.document_code JOIN functional_areas AS t3 ON t2.functional_area_code  =  t3.functional_area_code WHERE t3.functional_area_description  =  ""Acknowledgement""",Số lượng truy cập trung bình của các tài liệu có mô tả khu vực chức năng là gì?
Find names of the document without any images.,SELECT document_name FROM documents EXCEPT SELECT t1.document_name FROM documents AS t1 JOIN document_sections AS t2 ON t1.document_code  =  t2.document_code JOIN document_sections_images AS t3 ON t2.section_id  =  t3.section_id,Tìm tên của tài liệu mà không có bất kỳ hình ảnh.
What are the names of documents that do not have any images?,SELECT document_name FROM documents EXCEPT SELECT t1.document_name FROM documents AS t1 JOIN document_sections AS t2 ON t1.document_code  =  t2.document_code JOIN document_sections_images AS t3 ON t2.section_id  =  t3.section_id,Tên của các tài liệu không có hình ảnh nào?
What is the name of the document with the most number of sections?,SELECT t1.document_name FROM documents AS t1 JOIN document_sections AS t2 ON t1.document_code  =  t2.document_code GROUP BY t1.document_code ORDER BY count(*) DESC LIMIT 1,Tên của tài liệu với số phần nhiều nhất là gì?
Return the name of the document that has the most sections.,SELECT t1.document_name FROM documents AS t1 JOIN document_sections AS t2 ON t1.document_code  =  t2.document_code GROUP BY t1.document_code ORDER BY count(*) DESC LIMIT 1,Trả về tên của tài liệu có nhiều phần nhất.
"List all the document names which contains ""CV"".","SELECT document_name FROM documents WHERE document_name LIKE ""%CV%""","Liệt kê tất cả các tên tài liệu có chứa ""CV""."
"What are the names of documents that contain the substring ""CV""?","SELECT document_name FROM documents WHERE document_name LIKE ""%CV%""","Tên của các tài liệu có chứa ""CV"" là gì?"
How many users are logged in?,SELECT count(*) FROM users WHERE user_login  =  1,Có bao nhiêu người dùng được đăng nhập?
Count the number of users that are logged in.,SELECT count(*) FROM users WHERE user_login  =  1,Đếm số lượng người dùng được đăng nhập.
Find the description of the most popular role among the users that have logged in.,SELECT role_description FROM ROLES WHERE role_code  =  (SELECT role_code FROM users WHERE user_login  =  1 GROUP BY role_code ORDER BY count(*) DESC LIMIT 1),Tìm mô tả về vai trò phổ biến nhất trong số những người dùng đã đăng nhập.
What is the description of the most popular role among users that have logged in?,SELECT role_description FROM ROLES WHERE role_code  =  (SELECT role_code FROM users WHERE user_login  =  1 GROUP BY role_code ORDER BY count(*) DESC LIMIT 1),Mô tả về vai trò phổ biến nhất trong số những người dùng đã đăng nhập là gì?
Find the average access count of documents with the least popular structure.,SELECT avg(access_count) FROM documents GROUP BY document_structure_code ORDER BY count(*) ASC LIMIT 1,Tìm số lượng truy cập trung bình của các tài liệu với cấu trúc ít phổ biến nhất.
What is the average access count of documents that have the least common structure?,SELECT avg(access_count) FROM documents GROUP BY document_structure_code ORDER BY count(*) ASC LIMIT 1,Số lượng truy cập trung bình của các tài liệu có cấu trúc ít nhất là gì?
List all the image name and URLs in the order of their names.,"SELECT image_name ,  image_url FROM images ORDER BY image_name",Liệt kê tất cả các tên hình ảnh và URL theo thứ tự tên của họ.
"What are the names and urls of images, sorted alphabetically?","SELECT image_name ,  image_url FROM images ORDER BY image_name","Tên và URL của hình ảnh, được sắp xếp theo thứ tự bảng chữ cái là gì?"
Find the number of users in each role.,"SELECT count(*) ,  role_code FROM users GROUP BY role_code",Tìm số lượng người dùng trong mỗi vai trò.
"What are the different role codes for users, and how many users have each?","SELECT count(*) ,  role_code FROM users GROUP BY role_code",Các mã vai trò khác nhau cho người dùng là gì và mỗi người dùng có bao nhiêu người dùng?
What document types have more than 2 corresponding documents?,SELECT document_type_code FROM documents GROUP BY document_type_code HAVING count(*)  >  2,Những loại tài liệu nào có nhiều hơn 2 tài liệu tương ứng?
Give the codes of document types that have more than 2 corresponding documents.,SELECT document_type_code FROM documents GROUP BY document_type_code HAVING count(*)  >  2,Cung cấp mã của các loại tài liệu có nhiều hơn 2 tài liệu tương ứng.
How many companies are there?,SELECT count(*) FROM Companies,Có bao nhiêu công ty?
Count the number of companies.,SELECT count(*) FROM Companies,Đếm số lượng các công ty.
List the names of companies in descending order of market value.,SELECT name FROM Companies ORDER BY Market_Value_billion DESC,Liệt kê tên của các công ty theo thứ tự giảm dần giá trị thị trường.
Sort the company names in descending order of the company's market value.,SELECT name FROM Companies ORDER BY Market_Value_billion DESC,Sắp xếp tên công ty theo thứ tự giảm dần giá trị thị trường của công ty.
"What are the names of companies whose headquarters are not ""USA""?",SELECT name FROM Companies WHERE Headquarters != 'USA',"Tên của các công ty có trụ sở chính không phải là ""Hoa Kỳ"" là gì?"
"Find the names of the companies whose headquarters are not located in ""USA"".",SELECT name FROM Companies WHERE Headquarters != 'USA',"Tìm tên của các công ty có trụ sở chính không được đặt tại ""Hoa Kỳ""."
"What are the name and assets of each company, sorted in ascending order of company name?","SELECT name ,  Assets_billion FROM Companies ORDER BY name ASC","Tên và tài sản của mỗi công ty, được sắp xếp theo thứ tự tăng dần của tên công ty là gì?"
List the name and assets of each company in ascending order of company name.,"SELECT name ,  Assets_billion FROM Companies ORDER BY name ASC",Liệt kê tên và tài sản của mỗi công ty theo thứ tự tăng dần của tên công ty.
What are the average profits of companies?,SELECT avg(Profits_billion) FROM Companies,Lợi nhuận trung bình của các công ty là gì?
Compute the average profits companies make.,SELECT avg(Profits_billion) FROM Companies,Tính toán lợi nhuận trung bình các công ty thực hiện.
"What are the maximum and minimum sales of the companies whose industries are not ""Banking"".","SELECT max(Sales_billion) ,  min(Sales_billion) FROM Companies WHERE Industry != ""Banking""","Doanh số tối đa và tối thiểu của các công ty có các ngành công nghiệp không ""ngân hàng""."
"Find the maximum and minimum sales of the companies that are not in the ""Banking"" industry.","SELECT max(Sales_billion) ,  min(Sales_billion) FROM Companies WHERE Industry != ""Banking""","Tìm doanh số tối đa và tối thiểu của các công ty không có trong ngành ""Ngân hàng""."
How many different industries are the companies in?,SELECT count(DISTINCT Industry) FROM Companies,Các công ty trong bao nhiêu ngành công nghiệp khác nhau?
Count the number of distinct company industries.,SELECT count(DISTINCT Industry) FROM Companies,Đếm số lượng các ngành công nghiệp khác biệt.
List the names of buildings in descending order of building height.,SELECT name FROM buildings ORDER BY Height DESC,Liệt kê tên của các tòa nhà theo thứ tự giảm dần chiều cao tòa nhà.
What are the names of buildings sorted in descending order of building height?,SELECT name FROM buildings ORDER BY Height DESC,Tên của các tòa nhà được sắp xếp theo thứ tự giảm dần chiều cao tòa nhà là gì?
Find the stories of the building with the largest height.,SELECT Stories FROM buildings ORDER BY Height DESC LIMIT 1,Tìm những câu chuyện của tòa nhà với chiều cao lớn nhất.
What is the stories of highest building?,SELECT Stories FROM buildings ORDER BY Height DESC LIMIT 1,Những câu chuyện về tòa nhà cao nhất là gì?
List the name of a building along with the name of a company whose office is in the building.,"SELECT T3.name ,  T2.name FROM Office_locations AS T1 JOIN buildings AS T2 ON T1.building_id  =  T2.id JOIN Companies AS T3 ON T1.company_id  =  T3.id",Liệt kê tên của một tòa nhà cùng với tên của một công ty có văn phòng trong tòa nhà.
"For each company, return the company name and the name of the building its office is located in.","SELECT T3.name ,  T2.name FROM Office_locations AS T1 JOIN buildings AS T2 ON T1.building_id  =  T2.id JOIN Companies AS T3 ON T1.company_id  =  T3.id","Đối với mỗi công ty, hãy trả lại tên công ty và tên của tòa nhà văn phòng của nó được đặt tại."
Show the names of the buildings that have more than one company offices.,SELECT T2.name FROM Office_locations AS T1 JOIN buildings AS T2 ON T1.building_id  =  T2.id JOIN Companies AS T3 ON T1.company_id  =  T3.id GROUP BY T1.building_id HAVING COUNT(*)  >  1,Hiển thị tên của các tòa nhà có nhiều hơn một văn phòng công ty.
Which buildings have more than one company offices? Give me the building names.,SELECT T2.name FROM Office_locations AS T1 JOIN buildings AS T2 ON T1.building_id  =  T2.id JOIN Companies AS T3 ON T1.company_id  =  T3.id GROUP BY T1.building_id HAVING COUNT(*)  >  1,Những tòa nhà nào có nhiều hơn một văn phòng công ty? Cho tôi tên tòa nhà.
Show the name of the building that has the most company offices.,SELECT T2.name FROM Office_locations AS T1 JOIN buildings AS T2 ON T1.building_id  =  T2.id JOIN Companies AS T3 ON T1.company_id  =  T3.id GROUP BY T1.building_id ORDER BY COUNT(*) DESC LIMIT 1,Hiển thị tên của tòa nhà có nhiều văn phòng công ty nhất.
Which building has the largest number of company offices? Give me the building name.,SELECT T2.name FROM Office_locations AS T1 JOIN buildings AS T2 ON T1.building_id  =  T2.id JOIN Companies AS T3 ON T1.company_id  =  T3.id GROUP BY T1.building_id ORDER BY COUNT(*) DESC LIMIT 1,Tòa nhà nào có số lượng văn phòng công ty lớn nhất? Cho tôi tên tòa nhà.
"Please show the names of the buildings whose status is ""on-hold"", in ascending order of stories.","SELECT name FROM buildings WHERE Status  =  ""on-hold"" ORDER BY Stories ASC","Vui lòng hiển thị tên của các tòa nhà có địa vị ""đang giữ"", theo thứ tự tăng dần của các câu chuyện."
"Find the names of the buildings in ""on-hold"" status, and sort them in ascending order of building stories.","SELECT name FROM buildings WHERE Status  =  ""on-hold"" ORDER BY Stories ASC","Tìm tên của các tòa nhà trong trạng thái ""on-kold"" và sắp xếp chúng theo thứ tự tăng dần của các câu chuyện xây dựng."
Please show each industry and the corresponding number of companies in that industry.,"SELECT Industry ,  COUNT(*) FROM Companies GROUP BY Industry",Vui lòng hiển thị từng ngành và số lượng các công ty tương ứng trong ngành đó.
Whah are the name of each industry and the number of companies in that industry?,"SELECT Industry ,  COUNT(*) FROM Companies GROUP BY Industry",Whah là tên của mỗi ngành công nghiệp và số lượng các công ty trong ngành đó?
Please show the industries of companies in descending order of the number of companies.,SELECT Industry FROM Companies GROUP BY Industry ORDER BY COUNT(*) DESC,Vui lòng hiển thị các ngành công nghiệp của các công ty theo thứ tự giảm dần của số lượng các công ty.
Sort all the industries in descending order of the count of companies in each industry,SELECT Industry FROM Companies GROUP BY Industry ORDER BY COUNT(*) DESC,Sắp xếp tất cả các ngành công nghiệp theo thứ tự giảm dần của số lượng các công ty trong mỗi ngành
List the industry shared by the most companies.,SELECT Industry FROM Companies GROUP BY Industry ORDER BY COUNT(*) DESC LIMIT 1,Liệt kê ngành công nghiệp được chia sẻ bởi hầu hết các công ty.
Which industry has the most companies?,SELECT Industry FROM Companies GROUP BY Industry ORDER BY COUNT(*) DESC LIMIT 1,Ngành công nghiệp nào có nhiều công ty nhất?
List the names of buildings that have no company office.,SELECT name FROM buildings WHERE id NOT IN (SELECT building_id FROM Office_locations),Liệt kê tên của các tòa nhà không có văn phòng công ty.
Which buildings do not have any company office? Give me the building names.,SELECT name FROM buildings WHERE id NOT IN (SELECT building_id FROM Office_locations),Những tòa nhà nào không có văn phòng công ty? Cho tôi tên tòa nhà.
"Show the industries shared by companies whose headquarters are ""USA"" and companies whose headquarters are ""China"".","SELECT Industry FROM Companies WHERE Headquarters  =  ""USA"" INTERSECT SELECT Industry FROM Companies WHERE Headquarters  =  ""China""","Hiển thị các ngành công nghiệp được chia sẻ bởi các công ty có trụ sở chính là ""Hoa Kỳ"" và các công ty có trụ sở chính là ""Trung Quốc""."
"Which industries have both companies with headquarter in ""USA"" and companies with headquarter in ""China""?","SELECT Industry FROM Companies WHERE Headquarters  =  ""USA"" INTERSECT SELECT Industry FROM Companies WHERE Headquarters  =  ""China""","Những ngành công nghiệp nào có cả hai công ty có trụ sở tại ""Hoa Kỳ"" và các công ty có trụ sở tại ""Trung Quốc""?"
"Find the number of companies whose industry is ""Banking"" or ""Conglomerate"",","SELECT count(*) FROM Companies WHERE Industry  =  ""Banking"" OR Industry  =  ""Conglomerate""","Tìm số lượng các công ty có ngành công nghiệp đang ""ngân hàng"" hoặc ""tập đoàn"","
"How many companies are in either ""Banking"" industry or ""Conglomerate"" industry?","SELECT count(*) FROM Companies WHERE Industry  =  ""Banking"" OR Industry  =  ""Conglomerate""","Có bao nhiêu công ty trong ngành công nghiệp ""ngân hàng"" hoặc ""tập đoàn""?"
Show the headquarters shared by more than two companies.,SELECT Headquarters FROM Companies GROUP BY Headquarters HAVING COUNT(*)  >  2,Hiển thị trụ sở được chia sẻ bởi hơn hai công ty.
Which headquarter locations are used by more than 2 companies?,SELECT Headquarters FROM Companies GROUP BY Headquarters HAVING COUNT(*)  >  2,Những địa điểm trụ sở nào được sử dụng bởi hơn 2 công ty?
How many products are there?,SELECT count(*) FROM Products,Có bao nhiêu sản phẩm?
List the name of products in ascending order of price.,SELECT Product_Name FROM Products ORDER BY Product_Price ASC,Liệt kê tên của các sản phẩm theo thứ tự tăng dần của giá.
What are the names and type codes of products?,"SELECT Product_Name ,  Product_Type_Code FROM Products",Tên và mã loại sản phẩm là gì?
"Show the prices of the products named ""Dining"" or ""Trading Policy"".","SELECT Product_Price FROM Products WHERE Product_Name  =  ""Dining"" OR Product_Name  =  ""Trading Policy""","Hiển thị giá của các sản phẩm có tên ""Ăn uống"" hoặc ""Chính sách giao dịch""."
What is the average price for products?,SELECT avg(Product_Price) FROM Products,Giá trung bình cho sản phẩm là bao nhiêu?
What is the name of the product with the highest price?,SELECT Product_Name FROM Products ORDER BY Product_Price DESC LIMIT 1,Tên của sản phẩm với giá cao nhất là gì?
Show different type codes of products and the number of products with each type code.,"SELECT Product_Type_Code ,  COUNT(*) FROM Products GROUP BY Product_Type_Code",Hiển thị các mã loại khác nhau của sản phẩm và số lượng sản phẩm với mỗi mã loại.
Show the most common type code across products.,SELECT Product_Type_Code FROM Products GROUP BY Product_Type_Code ORDER BY COUNT(*) DESC LIMIT 1,Hiển thị mã loại phổ biến nhất trên các sản phẩm.
Show the product type codes that have at least two products.,SELECT Product_Type_Code FROM Products GROUP BY Product_Type_Code HAVING COUNT(*)  >=  2,Hiển thị các mã loại sản phẩm có ít nhất hai sản phẩm.
Show the product type codes that have both products with price higher than 4500 and products with price lower than 3000.,SELECT Product_Type_Code FROM Products WHERE Product_Price  >  4500 INTERSECT SELECT Product_Type_Code FROM Products WHERE Product_Price  <  3000,Hiển thị mã loại sản phẩm có cả hai sản phẩm có giá cao hơn 4500 và các sản phẩm có giá thấp hơn 3000.
Show the names of products and the number of events they are in.,"SELECT T1.Product_Name ,  COUNT(*) FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID  =  T2.Product_ID GROUP BY T1.Product_Name",Hiển thị tên của sản phẩm và số lượng sự kiện họ đang tham gia.
"Show the names of products and the number of events they are in, sorted by the number of events in descending order.","SELECT T1.Product_Name ,  COUNT(*) FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID  =  T2.Product_ID GROUP BY T1.Product_Name ORDER BY COUNT(*) DESC","Hiển thị tên của các sản phẩm và số lượng sự kiện họ tham gia, được sắp xếp theo số lượng sự kiện theo thứ tự giảm dần."
Show the names of products that are in at least two events.,SELECT T1.Product_Name FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID  =  T2.Product_ID GROUP BY T1.Product_Name HAVING COUNT(*)  >=  2,Hiển thị tên của các sản phẩm trong ít nhất hai sự kiện.
Show the names of products that are in at least two events in ascending alphabetical order of product name.,SELECT T1.Product_Name FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID  =  T2.Product_ID GROUP BY T1.Product_Name HAVING COUNT(*)  >=  2 ORDER BY T1.Product_Name,Hiển thị tên của các sản phẩm trong ít nhất hai sự kiện theo thứ tự bảng chữ cái tăng dần của tên sản phẩm.
List the names of products that are not in any event.,SELECT Product_Name FROM Products WHERE Product_ID NOT IN (SELECT Product_ID FROM Products_in_Events),Liệt kê tên của các sản phẩm không có trong bất kỳ sự kiện nào.
How many artworks are there?,SELECT count(*) FROM artwork,Có bao nhiêu tác phẩm nghệ thuật?
List the name of artworks in ascending alphabetical order.,SELECT Name FROM artwork ORDER BY Name ASC,Liệt kê tên của các tác phẩm nghệ thuật theo thứ tự bảng chữ cái tăng dần.
"List the name of artworks whose type is not ""Program Talent Show"".","SELECT Name FROM artwork WHERE TYPE != ""Program Talent Show""","Liệt kê tên của các tác phẩm nghệ thuật có loại không phải là ""chương trình tài năng chương trình""."
What are the names and locations of festivals?,"SELECT Festival_Name ,  LOCATION FROM festival_detail",Tên và địa điểm của các lễ hội là gì?
"What are the names of the chairs of festivals, sorted in ascending order of the year held?",SELECT Chair_Name FROM festival_detail ORDER BY YEAR ASC,"Tên của những chiếc ghế của các lễ hội, được sắp xếp theo thứ tự tăng dần của năm?"
What is the location of the festival with the largest number of audience?,SELECT LOCATION FROM festival_detail ORDER BY Num_of_Audience DESC LIMIT 1,Vị trí của lễ hội với số lượng khán giả lớn nhất là gì?
What are the names of festivals held in year 2007?,SELECT Festival_Name FROM festival_detail WHERE YEAR  =  2007,Tên của các lễ hội được tổ chức vào năm 2007 là gì?
What is the average number of audience for festivals?,SELECT avg(Num_of_Audience) FROM festival_detail,Số lượng khán giả trung bình cho các lễ hội là gì?
Show the names of the three most recent festivals.,SELECT Festival_Name FROM festival_detail ORDER BY YEAR DESC LIMIT 3,Hiển thị tên của ba lễ hội gần đây nhất.
"For each nomination, show the name of the artwork and name of the festival where it is nominated.","SELECT T2.Name ,  T3.Festival_Name FROM nomination AS T1 JOIN artwork AS T2 ON T1.Artwork_ID  =  T2.Artwork_ID JOIN festival_detail AS T3 ON T1.Festival_ID  =  T3.Festival_ID","Đối với mỗi đề cử, hãy hiển thị tên của tác phẩm nghệ thuật và tên của lễ hội nơi nó được đề cử."
Show distinct types of artworks that are nominated in festivals in 2007.,SELECT DISTINCT T2.Type FROM nomination AS T1 JOIN artwork AS T2 ON T1.Artwork_ID  =  T2.Artwork_ID JOIN festival_detail AS T3 ON T1.Festival_ID  =  T3.Festival_ID WHERE T3.Year  =  2007,Hiển thị các loại tác phẩm nghệ thuật riêng biệt được đề cử trong các lễ hội năm 2007.
Show the names of artworks in ascending order of the year they are nominated in.,SELECT T2.Name FROM nomination AS T1 JOIN artwork AS T2 ON T1.Artwork_ID  =  T2.Artwork_ID JOIN festival_detail AS T3 ON T1.Festival_ID  =  T3.Festival_ID ORDER BY T3.Year,Hiển thị tên của các tác phẩm nghệ thuật theo thứ tự tăng dần của năm họ được đề cử.
"Show the names of festivals that have nominated artworks of type ""Program Talent Show"".","SELECT T3.Festival_Name FROM nomination AS T1 JOIN artwork AS T2 ON T1.Artwork_ID  =  T2.Artwork_ID JOIN festival_detail AS T3 ON T1.Festival_ID  =  T3.Festival_ID WHERE T2.Type  =  ""Program Talent Show""","Hiển thị tên của các lễ hội có các tác phẩm nghệ thuật được đề cử loại ""Chương trình tài năng chương trình""."
Show the ids and names of festivals that have at least two nominations for artworks.,"SELECT T1.Festival_ID ,  T3.Festival_Name FROM nomination AS T1 JOIN artwork AS T2 ON T1.Artwork_ID  =  T2.Artwork_ID JOIN festival_detail AS T3 ON T1.Festival_ID  =  T3.Festival_ID GROUP BY T1.Festival_ID HAVING COUNT(*)  >=  2",Hiển thị ID và tên của các lễ hội có ít nhất hai đề cử cho các tác phẩm nghệ thuật.
"Show the id, name of each festival and the number of artworks it has nominated.","SELECT T1.Festival_ID ,  T3.Festival_Name ,  COUNT(*) FROM nomination AS T1 JOIN artwork AS T2 ON T1.Artwork_ID  =  T2.Artwork_ID JOIN festival_detail AS T3 ON T1.Festival_ID  =  T3.Festival_ID GROUP BY T1.Festival_ID","Hiển thị ID, tên của mỗi lễ hội và số lượng tác phẩm nghệ thuật mà nó đã đề cử."
Please show different types of artworks with the corresponding number of artworks of each type.,"SELECT TYPE ,  COUNT(*) FROM artwork GROUP BY TYPE",Vui lòng hiển thị các loại tác phẩm nghệ thuật khác nhau với số lượng tác phẩm nghệ thuật tương ứng của từng loại.
List the most common type of artworks.,SELECT TYPE FROM artwork GROUP BY TYPE ORDER BY COUNT(*) DESC LIMIT 1,Liệt kê các loại tác phẩm nghệ thuật phổ biến nhất.
List the year in which there are more than one festivals.,SELECT YEAR FROM festival_detail GROUP BY YEAR HAVING COUNT(*)  >  1,Liệt kê năm trong đó có nhiều hơn một lễ hội.
List the name of artworks that are not nominated.,SELECT Name FROM Artwork WHERE Artwork_ID NOT IN (SELECT Artwork_ID FROM nomination),Liệt kê tên của các tác phẩm nghệ thuật không được đề cử.
Show the number of audience in year 2008 or 2010.,SELECT Num_of_Audience FROM festival_detail WHERE YEAR  =  2008 OR YEAR  =  2010,Hiển thị số lượng khán giả trong năm 2008 hoặc 2010.
What are the total number of the audiences who visited any of the festivals?,SELECT sum(Num_of_Audience) FROM festival_detail,Tổng số khán giả đã đến thăm bất kỳ lễ hội nào là gì?
In which year are there festivals both inside the 'United States' and outside the 'United States'?,SELECT YEAR FROM festival_detail WHERE LOCATION  =  'United States' INTERSECT SELECT YEAR FROM festival_detail WHERE LOCATION != 'United States',Trong năm nào có lễ hội cả bên trong 'Hoa Kỳ' và bên ngoài 'Hoa Kỳ'?
How many premises are there?,SELECT count(*) FROM premises,Có bao nhiêu cơ sở?
What are all the distinct premise types?,SELECT DISTINCT premises_type FROM premises,Tất cả các loại tiền đề riêng biệt là gì?
Find the types and details for all premises and order by the premise type.,"SELECT premises_type ,  premise_details FROM premises ORDER BY premises_type",Tìm các loại và chi tiết cho tất cả các cơ sở và đặt hàng theo loại tiền đề.
Show each premise type and the number of premises in that type.,"SELECT premises_type ,  count(*) FROM premises GROUP BY premises_type",Hiển thị từng loại tiền đề và số lượng cơ sở trong loại đó.
Show all distinct product categories along with the number of mailshots in each category.,"SELECT product_category ,  count(*) FROM mailshot_campaigns GROUP BY product_category",Hiển thị tất cả các loại sản phẩm riêng biệt cùng với số lượng thư trong mỗi danh mục.
Show the name and phone of the customer without any mailshot.,"SELECT customer_name ,  customer_phone FROM customers WHERE customer_id NOT IN (SELECT customer_id FROM mailshot_customers)",Hiển thị tên và điện thoại của khách hàng mà không có bất kỳ mailshot.
Show the name and phone for customers with a mailshot with outcome code 'No Response'.,"SELECT T1.customer_name ,  T1.customer_phone FROM customers AS T1 JOIN mailshot_customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.outcome_code  =  'No Response'",Hiển thị tên và điện thoại cho khách hàng với một mailshot có mã kết quả 'không có phản hồi'.
Show the outcome code of mailshots along with the number of mailshots in each outcome code.,"SELECT outcome_code ,  count(*) FROM mailshot_customers GROUP BY outcome_code",Hiển thị mã kết quả của các bức thư cùng với số lượng thư trong mỗi mã kết quả.
Show the names of customers who have at least 2 mailshots with outcome code 'Order'.,SELECT T2.customer_name FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE outcome_code  =  'Order' GROUP BY T1.customer_id HAVING count(*)  >=  2,Hiển thị tên của khách hàng có ít nhất 2 thư với mã kết quả 'đặt hàng'.
Show the names of customers who have the most mailshots.,SELECT T2.customer_name FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY count(*) DESC LIMIT 1,Hiển thị tên của những khách hàng có nhiều thư nhất.
What are the name and payment method of customers who have both mailshots in 'Order' outcome and mailshots in 'No Response' outcome.,"SELECT T2.customer_name ,  T2.payment_method FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.outcome_code  =  'Order' INTERSECT SELECT T2.customer_name ,  T2.payment_method FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.outcome_code  =  'No Response'",Tên và phương thức thanh toán của khách hàng có cả hai bức thư theo kết quả 'đặt hàng' và tin tức trong kết quả 'không có phản hồi'.
Show the premise type and address type code for all customer addresses.,"SELECT T2.premises_type ,  T1.address_type_code FROM customer_addresses AS T1 JOIN premises AS T2 ON T1.premise_id  =  T2.premise_id",Hiển thị loại tiền đề và mã loại địa chỉ cho tất cả các địa chỉ khách hàng.
What are the distinct address type codes for all customer addresses?,SELECT DISTINCT address_type_code FROM customer_addresses,Các mã loại địa chỉ riêng biệt cho tất cả các địa chỉ khách hàng là gì?
Show the shipping charge and customer id for customer orders with order status Cancelled or Paid.,"SELECT order_shipping_charges ,  customer_id FROM customer_orders WHERE order_status_code  =  'Cancelled' OR order_status_code  =  'Paid'",Hiển thị phí vận chuyển và ID khách hàng cho đơn đặt hàng của khách hàng với trạng thái đơn đặt hàng bị hủy hoặc thanh toán.
Show the names of customers having an order with shipping method FedEx and order status Paid.,SELECT T1.customer_name FROM customers AS T1 JOIN customer_orders AS T2 ON T1.customer_id  =  T2.customer_id WHERE shipping_method_code  =  'FedEx' AND order_status_code  =  'Paid',Hiển thị tên của khách hàng có đơn đặt hàng với phương thức vận chuyển FedEx và trạng thái đặt hàng được trả.
How many courses are there in total?,SELECT count(*) FROM COURSE,Tổng cộng có bao nhiêu khóa học?
Count the number of courses.,SELECT count(*) FROM COURSE,Đếm số lượng các khóa học.
How many courses have more than 2 credits?,SELECT count(*) FROM COURSE WHERE Credits  >  2,Có bao nhiêu khóa học có nhiều hơn 2 tín chỉ?
Count the number of courses with more than 2 credits.,SELECT count(*) FROM COURSE WHERE Credits  >  2,Đếm số lượng các khóa học với hơn 2 tín chỉ.
List all names of courses with 1 credit?,SELECT CName FROM COURSE WHERE Credits  =  1,Liệt kê tất cả các tên của các khóa học với 1 tín dụng?
What are the names of courses with 1 credit?,SELECT CName FROM COURSE WHERE Credits  =  1,Tên của các khóa học với 1 tín dụng là gì?
